Census District	Census Map Code	Race: Total	Race: Black	Race: White	Race: Mixed / Other	Race: Not Stated	Median Annual Household Income	Religion: Total	Religion: None	Religion: Anglican	Religion: Roman Catholic	Religion: AME	Religion: Non Denomination	Religion: Seventh Day Adventist	Religion: Other/ Not Stated	Status: Bermudian	Status: Non-Bermudian	Status: Not Stated	Health: Seeing Difficulties	Health: High Blood Pressure	Health: Asthma	Health: Arthritis	Health: Diabetes Type II	Health: Seeing Difficulties with Lenses	Health: Back Spine Problem	Health: Heart Condition	Health: Cancer	"Health: Stomach, Kidney, Liver"	Health: Diabetes Type I	Health: Hearing Difficulties	Health: Moving Mobility Difficulty	Health: Mental  Emotional disorder	Health: Other respiratory/Lung Problem	Health: Body Movement Difficulty	Health: No Limited use of Leg(s)	Health: Learning difficulties	Health: Speaking Difficulties	Health: Epilepsy	Health: Senility Alzheimers	Health: Gripping Holding Difficulty	Health: Learning Disabled	Health: Sickle-Cell Anemia	Health: Muscular Disease Impairment	Health: No/limited use of Arms	Health: Alcohol Dependency	Health: Behavioural Difficulty	Health: Lupus	Health: Drug Dependency	Health: Autism/PD	Health: Complete Blindness	Health: Complete Deafness	Health: Other Conditions	Health: Not Stated
CD319	3-19	308	71	174	60	3	"$166,773"	308	42	71	70	21	17	5	82	209	98	1	80	32	15	11	9	11	14	12	7	1	4	6	6	3	2	2	4	5	1	3	2	1	0	0	0	2	1	0	0	0	0	0	0	15	1
CD320	3-20	196	45	137	14	0	"$128,571"	196	39	53	40	4	13	5	42	138	58	0	15	25	12	9	3	12	4	10	6	2	2	6	3	2	0	1	1	1	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	10	0
CD401	4-01	330	262	19	49	0	"$84,000"	329	95	28	19	20	26	37	104	265	64	1	14	37	27	14	14	5	9	5	3	2	5	2	5	3	0	1	1	1	0	1	0	1	0	0	0	1	2	3	0	1	0	0	1	13	2
CD402	4-02	312	261	19	32	0	"$89,455"	295	41	51	27	41	23	21	91	274	38	0	53	48	21	17	16	11	5	8	1	3	4	1	3	1	1	1	2	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	19	2
CD403	4-03	213	180	9	16	8	"$92,500"	197	60	21	8	28	14	14	52	179	33	1	32	28	15	10	9	4	9	6	4	1	5	2	1	0	0	0	1	1	0	0	0	1	1	0	1	2	0	1	1	0	0	0	0	11	2
CD404	4-04	267	204	21	42	0	"$108,000"	267	53	28	38	29	47	19	53	208	56	3	39	31	26	12	16	10	10	5	2	4	3	3	2	2	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	17	1
CD405	4-05	894	715	82	96	1	"$78,000"	835	121	99	59	105	81	87	283	787	107	0	52	138	98	62	69	200	36	36	20	7	20	8	21	13	9	14	15	7	3	2	2	10	1	7	4	9	3	2	2	2	1	2	0	44	5
CD406	4-06	45	10	24	11	0	"$90,000"	44	7	19	7	1	0	2	8	33	12	0	6	5	2	3	2	2	2	1	1	0	1	1	0	2	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	3	1
CD407	4-07	133	77	40	16	0	"$94,286"	109	12	19	17	16	21	1	23	110	23	0	19	20	13	5	6	4	3	4	3	0	1	2	1	4	0	1	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	8	3
CD408	4-08	237	173	35	29	0	"$125,455"	206	40	23	22	18	27	18	58	199	38	0	30	23	18	6	6	20	6	8	4	2	1	3	5	1	1	2	4	1	0	0	2	1	0	0	1	2	1	1	0	1	0	0	0	13	2
CD409	4-09	497	375	49	73	0	"$110,526"	425	80	74	24	39	51	32	125	435	59	3	59	60	38	19	21	18	7	10	11	3	8	6	3	2	3	2	3	5	1	1	0	0	2	0	0	0	0	0	0	0	0	2	1	28	1
CD410	4-10	284	197	33	52	2	"$80,571"	225	33	39	25	23	27	10	68	263	21	0	37	28	14	6	18	12	6	13	3	5	2	1	2	6	3	1	2	1	0	0	3	0	2	3	0	1	0	0	1	0	0	0	0	15	2
CD411	4-11	357	239	81	33	4	"$86,182"	357	68	46	62	43	9	24	105	294	58	5	77	48	31	13	37	12	8	14	4	9	8	4	5	8	3	7	2	1	4	0	0	0	5	0	0	1	1	4	0	0	1	0	0	11	7
CD412	4-12	203	74	82	47	0	"$87,600"	192	17	30	71	7	4	5	58	158	45	0	41	24	13	12	12	6	6	4	5	3	4	2	3	2	4	1	0	0	2	0	0	2	0	1	2	0	1	0	0	1	0	0	0	16	4
CD413	4-13	526	296	128	101	1	"$105,273"	487	59	110	92	33	23	38	132	441	84	1	113	56	44	17	24	23	26	20	8	9	8	8	4	4	2	3	5	3	6	9	0	1	8	0	0	1	1	7	0	0	3	1	0	40	2
CD414	4-14	163	14	132	16	1	"$170,364"	154	27	48	26	1	14	0	38	107	56	0	66	11	10	6	3	3	7	2	3	5	0	2	2	3	1	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	11	0
CD415	4-15	307	176	99	31	1	"$93,429"	289	44	46	58	32	21	27	61	271	34	2	17	43	27	13	18	5	5	15	7	5	3	0	2	2	1	1	1	1	1	1	1	2	0	0	0	0	0	1	1	0	0	0	0	18	4
CD416	4-16	281	60	186	35	0	"$116,250"	281	61	37	106	2	13	1	61	194	87	0	66	37	26	21	14	7	10	8	2	3	2	7	2	4	0	2	1	1	2	2	2	2	0	0	2	0	1	0	0	0	0	0	0	29	0
CD417	4-17	356	177	133	42	4	"$111,000"	331	61	68	60	20	33	16	73	273	81	2	49	42	31	4	13	10	7	6	7	4	6	3	5	0	1	0	2	2	1	0	0	1	1	1	1	2	2	0	1	0	1	0	0	26	2
CD418	4-18	272	98	150	24	0	"$114,286"	228	34	52	52	13	10	13	54	209	63	0	54	29	12	17	9	8	10	9	3	3	2	7	2	6	2	2	2	3	2	0	2	0	0	2	0	1	0	1	0	0	0	0	0	12	0
CD419	4-19	293	59	204	30	0	"$147,000"	281	71	78	63	10	23	2	34	215	75	3	54	31	15	17	5	28	3	5	1	5	0	8	4	6	3	0	4	0	2	1	1	0	1	0	1	1	0	0	0	0	1	0	0	18	0
CD420	4-20	126	5	105	16	0	"$140,000"	126	20	37	39	0	16	1	13	75	50	1	63	17	8	18	3	4	12	9	3	5	1	5	6	1	5	3	3	2	0	0	0	1	1	0	1	2	1	0	1	0	0	0	0	17	1
CD421	4-21	156	27	114	14	1	"$146,400"	153	27	62	21	3	2	2	36	104	52	0	22	12	11	7	2	1	9	8	2	1	0	2	1	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CD422	4-22	276	115	110	38	13	"$96,000"	258	38	62	59	10	19	14	56	219	57	0	52	19	6	14	6	3	3	2	3	0	5	1	2	0	1	1	2	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	21	2
CD423	4-23	351	108	177	65	1	"$118,500"	351	98	44	71	7	36	35	60	230	121	0	25	51	24	10	10	0	18	9	8	7	2	12	2	1	3	2	0	2	1	3	0	0	1	0	0	1	0	0	0	0	0	0	0	32	0
CD424	4-24	175	64	59	51	1	"$108,000"	165	10	23	43	17	12	1	59	129	46	0	21	21	13	6	7	19	4	6	4	2	3	1	3	2	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	6	0
CD425	4-25	276	234	10	31	1	"$80,000"	266	77	21	16	17	20	20	95	242	33	1	42	44	19	11	14	11	1	8	1	1	4	1	5	2	1	1	4	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	20	1
CD501	5-01	140	35	60	41	4	"$142,500"	140	31	23	32	1	13	13	27	78	62	0	24	12	11	11	5	3	5	9	3	4	1	1	1	2	2	2	1	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	1	6	2
CD502	5-02	113	57	42	14	0	"$124,800"	113	16	28	23	10	2	8	26	94	19	0	11	19	6	8	2	10	1	2	2	3	2	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	2
CD503	5-03	161	80	48	33	0	"$106,500"	161	28	21	49	7	14	15	27	130	25	6	14	16	11	7	5	3	3	10	2	3	4	2	2	6	0	3	1	1	0	2	1	0	1	1	1	0	1	1	0	0	0	0	0	6	1
CD504	5-04	147	135	0	10	2	"$63,429"	147	29	3	1	19	12	11	72	130	17	0	10	14	11	9	7	1	4	4	2	0	3	1	2	1	2	2	1	0	1	0	1	1	2	0	1	1	0	0	1	0	0	0	0	11	0
CD505	5-05	213	169	20	22	2	"$70,000"	213	85	6	27	15	20	21	39	174	39	0	5	14	1	2	7	5	0	3	2	0	0	0	2	1	1	1	1	2	1	1	2	0	3	0	1	1	0	1	0	1	0	0	0	1	0
CD506	5-06	146	114	13	18	1	"$60,000"	146	74	5	12	7	11	0	37	110	36	0	2	6	3	2	5	0	1	4	1	0	1	1	5	1	0	3	1	1	1	2	0	0	1	1	1	1	0	0	0	0	0	0	1	4	1
CD507	5-07	160	138	2	20	0	"$71,333"	160	25	8	7	27	12	16	65	141	18	1	22	17	12	5	5	6	1	5	2	3	4	1	3	2	1	3	3	1	1	3	2	0	1	0	0	0	0	0	0	1	0	0	0	10	0
CD508	5-08	203	187	0	16	0	"$77,000"	203	47	11	6	49	21	20	49	194	9	0	17	29	27	8	8	4	6	4	4	4	4	1	1	1	3	1	1	2	0	2	1	1	0	1	0	0	0	1	0	0	0	1	1	11	1
CD509	5-09	178	158	1	17	2	"$72,000"	178	61	15	8	21	15	20	38	166	9	3	15	23	9	9	7	3	5	9	8	2	7	4	3	4	1	2	1	1	1	2	1	2	1	0	1	0	1	0	0	1	0	0	0	12	2
CD510	5-10	100	88	3	9	0	"$94,000"	100	13	10	3	16	6	16	36	82	13	5	4	18	10	8	7	2	5	2	0	3	2	1	1	1	1	1	0	0	1	1	0	0	0	3	0	0	0	0	1	0	0	0	0	6	0
